Molecule1_KEGG,Molecule2_KEGG,Morgan_Tanimoto_Similarity
C00149,C00227,0.102
C00149,C00010,0.0543
C00149,C00158,0.4183
C00149,C00451,0.3991
C00149,C00026,0.2887
C00149,C00042,0.4828
C00149,C00122,0.1404
C00036,C00092,0.0694
C00036,C05345,0.0665
C00036,C00354,0.0655
C00036,C00111,0.1379
C00036,C00029,0.0492
C00036,C01159,0.1137
C00036,C00197,0.1509
C00036,C00631,0.13
C00036,C00074,0.1091
C00036,C00022,0.4045
C00036,C00345,0.1458
C00036,C00199,0.1592
C00036,C00117,0.0728
C00036,C00279,0.1478
C00036,C04442,0.2313
C00036,C00227,0.1007
C00036,C00010,0.0504
C00036,C00158,0.2122
C00036,C00451,0.2039
C00036,C00026,0.4567
C00036,C00042,0.4719
C00036,C00122,0.1379
C00036,C00149,0.3858
C00048,C00092,0.0225
C00048,C05345,0.0215
C00048,C00354,0.0204
C00048,C00111,0.1026
C00048,C00029,0.0123
C00048,C01159,0.0688
C00048,C00197,0.1006
C00048,C00631,0.0958
C00048,C00074,0.1076
C00048,C00022,0.5556
C00048,C00345,0.0533
C00048,C00199,0.0472
C00048,C00117,0.0211
C00048,C00279,0.0656
C00048,C04442,0.0692
C00048,C00227,0.1728
C00048,C00010,0.0109
C00048,C00158,0.0755
C00048,C00451,0.0721
C00048,C00026,0.2083
C00048,C00042,0.2917
C00048,C00122,0.2857
C00048,C00149,0.1758
C00048,C00036,0.2247
C00003,C00092,0.2599
C00003,C05345,0.264
C00003,C00354,0.2701
C00003,C00111,0.0694
C00003,C00029,0.635
C00003,C01159,0.1374
C00003,C00197,0.0983
C00003,C00631,0.0937
C00003,C00074,0.088
C00003,C00022,0.0206
C00003,C00345,0.1896
C00003,C00199,0.1577
C00003,C00117,0.2344
C00003,C00279,0.1144
C00003,C04442,0.1837
C00003,C00227,0.0446
C00003,C00010,0.8287
C00003,C00158,0.1086
C00003,C00451,0.1117
C00003,C00026,0.0522
C00003,C00042,0.0242
C00003,C00122,0.0227
C00003,C00149,0.0488
C00003,C00036,0.0464
C00003,C00048,0.011
C00006,C00092,0.2507
C00006,C05345,0.2563
C00006,C00354,0.2631
C00006,C00111,0.0667
C00006,C00029,0.629
C00006,C01159,0.1376
C00006,C00197,0.0949
C00006,C00631,0.0944
C00006,C00074,0.0859
C00006,C00022,0.0195
C00006,C00345,0.1819
C00006,C00199,0.1515
C00006,C00117,0.2237
C00006,C00279,0.1095
C00006,C04442,0.1763
C00006,C00227,0.0424
C00006,C00010,0.8316
C00006,C00158,0.1055
C00006,C00451,0.1086
C00006,C00026,0.0497
C00006,C00042,0.023
C00006,C00122,0.0223
C00006,C00149,0.0463
C00006,C00036,0.0448
C00006,C00048,0.0105
C00006,C00003,0.9495
C00020,C00092,0.2832
C00020,C05345,0.2835
C00020,C00354,0.2883
C00020,C00111,0.0747
C00020,C00029,0.6075
C00020,C01159,0.1483
C00020,C00197,0.1123
C00020,C00631,0.0994
C00020,C00074,0.0899
C00020,C00022,0.0199
C00020,C00345,0.2156
C00020,C00199,0.1783
C00020,C00117,0.2615
C00020,C00279,0.1334
C00020,C04442,0.2035
C00020,C00227,0.05
C00020,C00010,0.8342
C00020,C00158,0.1075
C00020,C00451,0.1138
C00020,C00026,0.0518
C00020,C00042,0.0251
C00020,C00122,0.0216
C00020,C00149,0.0522
C00020,C00036,0.0486
C00020,C00048,0.0096
C00020,C00003,0.8434
C00020,C00006,0.8008
C00008,C00092,0.2764
C00008,C05345,0.2798
C00008,C00354,0.2845
C00008,C00111,0.0715
C00008,C00029,0.6437
C00008,C01159,0.1439
C00008,C00197,0.1084
C00008,C00631,0.096
C00008,C00074,0.0878
C00008,C00022,0.0199
C00008,C00345,0.2073
C00008,C00199,0.1735
C00008,C00117,0.2534
C00008,C00279,0.1276
C00008,C04442,0.1968
C00008,C00227,0.0479
C00008,C00010,0.8729
C00008,C00158,0.1073
C00008,C00451,0.1135
C00008,C00026,0.0522
C00008,C00042,0.0257
C00008,C00122,0.0223
C00008,C00149,0.0517
C00008,C00036,0.049
C00008,C00048,0.0091
C00008,C00003,0.8826
C00008,C00006,0.838
C00008,C00020,0.9556
C00002,C00092,0.2736
C00002,C05345,0.277
C00002,C00354,0.2826
C00002,C00111,0.0708
C00002,C00029,0.6397
C00002,C01159,0.1417
C00002,C00197,0.1069
C00002,C00631,0.0949
C00002,C00074,0.0868
C00002,C00022,0.0194
C00002,C00345,0.2038
C00002,C00199,0.1716
C00002,C00117,0.249
C00002,C00279,0.1257
C00002,C04442,0.1926
C00002,C00227,0.0468
C00002,C00010,0.8654
C00002,C00158,0.1102
C00002,C00451,0.1163
C00002,C00026,0.0519
C00002,C00042,0.026
C00002,C00122,0.0218
C00002,C00149,0.0523
C00002,C00036,0.0488
C00002,C00048,0.0089
C00002,C00003,0.8735
C00002,C00006,0.8313
C00002,C00020,0.9345
C00002,C00008,0.9779
C00144,C00092,0.2712
C00144,C05345,0.2795
C00144,C00354,0.286
C00144,C00111,0.0695
C00144,C00029,0.6219
C00144,C01159,0.1452
C00144,C00197,0.1075
C00144,C00631,0.098
C00144,C00074,0.0882
C00144,C00022,0.0187
C00144,C00345,0.204
C00144,C00199,0.1697
C00144,C00117,0.2534
C00144,C00279,0.1273
C00144,C04442,0.1908
C00144,C00227,0.0462
C00144,C00010,0.7389
C00144,C00158,0.1091
C00144,C00451,0.1169
C00144,C00026,0.048
C00144,C00042,0.0244
C00144,C00122,0.0211
C00144,C00149,0.0508
C00144,C00036,0.0465
C00144,C00048,0.009
C00144,C00003,0.7417
C00144,C00006,0.716
C00144,C00020,0.8215
C00144,C00008,0.8025
C00144,C00002,0.7946
C00035,C00092,0.2655
C00035,C05345,0.2783
C00035,C00354,0.2847
C00035,C00111,0.0669
C00035,C00029,0.6533
C00035,C01159,0.1409
C00035,C00197,0.1036
C00035,C00631,0.0945
C00035,C00074,0.0858
C00035,C00022,0.018
C00035,C00345,0.1966
C00035,C00199,0.1654
C00035,C00117,0.2462
C00035,C00279,0.1227
C00035,C04442,0.1849
C00035,C00227,0.0445
C00035,C00010,0.7705
C00035,C00158,0.1086
C00035,C00451,0.1161
C00035,C00026,0.0478
C00035,C00042,0.0244
C00035,C00122,0.0219
C00035,C00149,0.0498
C00035,C00036,0.0465
C00035,C00048,0.0087
C00035,C00003,0.7736
C00035,C00006,0.7466
C00035,C00020,0.7981
C00035,C00008,0.8377
C00035,C00002,0.8292
C00035,C00144,0.9628
C00044,C00092,0.2628
C00044,C05345,0.2755
C00044,C00354,0.2818
C00044,C00111,0.0666
C00044,C00029,0.6488
C00044,C01159,0.1393
C00044,C00197,0.1026
C00044,C00631,0.0937
C00044,C00074,0.0852
C00044,C00022,0.0177
C00044,C00345,0.1941
C00044,C00199,0.1634
C00044,C00117,0.2429
C00044,C00279,0.1214
C00044,C04442,0.1817
C00044,C00227,0.0437
C00044,C00010,0.7693
C00044,C00158,0.11
C00044,C00451,0.1175
C00044,C00026,0.0478
C00044,C00042,0.0247
C00044,C00122,0.0215
C00044,C00149,0.0505
C00044,C00036,0.0465
C00044,C00048,0.0085
C00044,C00003,0.7688
C00044,C00006,0.7434
C00044,C00020,0.7872
C00044,C00008,0.8262
C00044,C00002,0.8461
C00044,C00144,0.9455
C00044,C00035,0.9821
C00055,C00092,0.3151
C00055,C05345,0.3186
C00055,C00354,0.3225
C00055,C00111,0.0814
C00055,C00029,0.7268
C00055,C01159,0.1624
C00055,C00197,0.1282
C00055,C00631,0.113
C00055,C00074,0.0966
C00055,C00022,0.0232
C00055,C00345,0.24
C00055,C00199,0.2067
C00055,C00117,0.3037
C00055,C00279,0.1585
C00055,C04442,0.2179
C00055,C00227,0.0539
C00055,C00010,0.599
C00055,C00158,0.1134
C00055,C00451,0.1165
C00055,C00026,0.0539
C00055,C00042,0.0313
C00055,C00122,0.023
C00055,C00149,0.0596
C00055,C00036,0.0553
C00055,C00048,0.0111
C00055,C00003,0.6052
C00055,C00006,0.5892
C00055,C00020,0.6709
C00055,C00008,0.6527
C00055,C00002,0.6433
C00055,C00144,0.6259
C00055,C00035,0.6095
C00055,C00044,0.6007
C00112,C00092,0.3045
C00112,C05345,0.3115
C00112,C00354,0.3152
C00112,C00111,0.0766
C00112,C00029,0.7764
C00112,C01159,0.1543
C00112,C00197,0.1207
C00112,C00631,0.1064
C00112,C00074,0.0931
C00112,C00022,0.0218
C00112,C00345,0.2273
C00112,C00199,0.1991
C00112,C00117,0.2898
C00112,C00279,0.1501
C00112,C04442,0.2076
C00112,C00227,0.0508
C00112,C00010,0.6419
C00112,C00158,0.113
C00112,C00451,0.1149
C00112,C00026,0.0537
C00112,C00042,0.0304
C00112,C00122,0.0236
C00112,C00149,0.0571
C00112,C00036,0.053
C00112,C00048,0.0105
C00112,C00003,0.6486
C00112,C00006,0.6308
C00112,C00020,0.6603
C00112,C00008,0.7006
C00112,C00002,0.6903
C00112,C00144,0.621
C00112,C00035,0.6547
C00112,C00044,0.6452
C00112,C00055,0.9396
C00063,C00092,0.2993
C00063,C05345,0.305
C00063,C00354,0.3087
C00063,C00111,0.075
C00063,C00029,0.7652
C00063,C01159,0.1503
C00063,C00197,0.1176
C00063,C00631,0.1039
C00063,C00074,0.092
C00063,C00022,0.021
C00063,C00345,0.2209
C00063,C00199,0.1946
C00063,C00117,0.2814
C00063,C00279,0.1461
C00063,C04442,0.2019
C00063,C00227,0.049
C00063,C00010,0.648
C00063,C00158,0.1142
C00063,C00451,0.117
C00063,C00026,0.0528
C00063,C00042,0.0303
C00063,C00122,0.0237
C00063,C00149,0.0571
C00063,C00036,0.0522
C00063,C00048,0.0101
C00063,C00003,0.6524
C00063,C00006,0.6358
C00063,C00020,0.6582
C00063,C00008,0.6978
C00063,C00002,0.7179
C00063,C00144,0.6219
C00063,C00035,0.6551
C00063,C00044,0.6714
C00063,C00055,0.9074
C00063,C00112,0.9657
C00105,C00092,0.3209
C00105,C05345,0.3256
C00105,C00354,0.327
C00105,C00111,0.0838
C00105,C00029,0.8054
C00105,C01159,0.1618
C00105,C00197,0.1286
C00105,C00631,0.1122
C00105,C00074,0.0969
C00105,C00022,0.0232
C00105,C00345,0.2371
C00105,C00199,0.2073
C00105,C00117,0.3084
C00105,C00279,0.1566
C00105,C04442,0.2197
C00105,C00227,0.0573
C00105,C00010,0.5851
C00105,C00158,0.1158
C00105,C00451,0.1158
C00105,C00026,0.0551
C00105,C00042,0.0314
C00105,C00122,0.0241
C00105,C00149,0.0587
C00105,C00036,0.0513
C00105,C00048,0.0132
C00105,C00003,0.5803
C00105,C00006,0.5685
C00105,C00020,0.6452
C00105,C00008,0.6257
C00105,C00002,0.6181
C00105,C00144,0.6469
C00105,C00035,0.6284
C00105,C00044,0.6203
C00105,C00055,0.8656
C00105,C00112,0.8248
C00105,C00063,0.8044
C00015,C00092,0.3097
C00015,C05345,0.3178
C00015,C00354,0.3192
C00015,C00111,0.0788
C00015,C00029,0.8582
C00015,C01159,0.1545
C00015,C00197,0.122
C00015,C00631,0.1066
C00015,C00074,0.0932
C00015,C00022,0.0228
C00015,C00345,0.2266
C00015,C00199,0.1994
C00015,C00117,0.2938
C00015,C00279,0.1483
C00015,C04442,0.2102
C00015,C00227,0.0538
C00015,C00010,0.6284
C00015,C00158,0.1152
C00015,C00451,0.1151
C00015,C00026,0.0557
C00015,C00042,0.0314
C00015,C00122,0.0246
C00015,C00149,0.0572
C00015,C00036,0.0512
C00015,C00048,0.0124
C00015,C00003,0.6237
C00015,C00006,0.6103
C00015,C00020,0.634
C00015,C00008,0.6737
C00015,C00002,0.6652
C00015,C00144,0.6407
C00015,C00035,0.6749
C00015,C00044,0.6662
C00015,C00055,0.8257
C00015,C00112,0.8826
C00015,C00063,0.8605
C00015,C00105,0.9385
C00075,C00092,0.3028
C00075,C05345,0.3108
C00075,C00354,0.3133
C00075,C00111,0.0773
C00075,C00029,0.8407
C00075,C01159,0.151
C00075,C00197,0.1192
C00075,C00631,0.1044
C00075,C00074,0.0924
C00075,C00022,0.0221
C00075,C00345,0.2208
C00075,C00199,0.1955
C00075,C00117,0.285
C00075,C00279,0.1447
C00075,C04442,0.2049
C00075,C00227,0.0522
C00075,C00010,0.6326
C00075,C00158,0.1166
C00075,C00451,0.1175
C00075,C00026,0.055
C00075,C00042,0.0314
C00075,C00122,0.0247
C00075,C00149,0.0573
C00075,C00036,0.0505
C00075,C00048,0.012
C00075,C00003,0.6269
C00075,C00006,0.6146
C00075,C00020,0.6313
C00075,C00008,0.6703
C00075,C00002,0.6902
C00075,C00144,0.6404
C00075,C00035,0.6741
C00075,C00044,0.6905
C00075,C00055,0.8026
C00075,C00112,0.8579
C00075,C00063,0.8904
C00075,C00105,0.9088
C00075,C00015,0.9684
C00130,C00092,0.2826
C00130,C05345,0.2881
C00130,C00354,0.2919
C00130,C00111,0.0739
C00130,C00029,0.6329
C00130,C01159,0.1485
C00130,C00197,0.1125
C00130,C00631,0.0996
C00130,C00074,0.0892
C00130,C00022,0.0191
C00130,C00345,0.2118
C00130,C00199,0.1786
C00130,C00117,0.263
C00130,C00279,0.1346
C00130,C04442,0.1988
C00130,C00227,0.0483
C00130,C00010,0.7424
C00130,C00158,0.1086
C00130,C00451,0.1131
C00130,C00026,0.0492
C00130,C00042,0.0243
C00130,C00122,0.0225
C00130,C00149,0.0514
C00130,C00036,0.046
C00130,C00048,0.0096
C00130,C00003,0.7392
C00130,C00006,0.7118
C00130,C00020,0.8403
C00130,C00008,0.8129
C00130,C00002,0.8017
C00130,C00144,0.9383
C00130,C00035,0.9033
C00130,C00044,0.8872
C00130,C00055,0.6333
C00130,C00112,0.623
C00130,C00063,0.6216
C00130,C00105,0.6802
C00130,C00015,0.6636
C00130,C00075,0.6592
C00575,C00092,0.2771
C00575,C05345,0.2766
C00575,C00354,0.2831
C00575,C00111,0.075
C00575,C00029,0.6139
C00575,C01159,0.1523
C00575,C00197,0.1094
C00575,C00631,0.1052
C00575,C00074,0.0927
C00575,C00022,0.0219
C00575,C00345,0.2092
C00575,C00199,0.1751
C00575,C00117,0.2496
C00575,C00279,0.13
C00575,C04442,0.196
C00575,C00227,0.0501
C00575,C00010,0.8641
C00575,C00158,0.1066
C00575,C00451,0.1127
C00575,C00026,0.0526
C00575,C00042,0.0259
C00575,C00122,0.0234
C00575,C00149,0.053
C00575,C00036,0.0504
C00575,C00048,0.0106
C00575,C00003,0.8168
C00575,C00006,0.8101
C00575,C00020,0.933
C00575,C00008,0.9002
