Molecule1_KEGG,Molecule2_KEGG,Morgan_Tanimoto_Similarity
C00864,C00119,0.1143
C00864,C00166,0.1041
C00864,C00352,0.136
C00864,C03878,0.2106
C00155,C00092,0.0574
C00155,C05345,0.0488
C00155,C00354,0.0466
C00155,C00111,0.0983
C00155,C00029,0.0444
C00155,C01159,0.1017
C00155,C00197,0.1292
C00155,C00631,0.1193
C00155,C00074,0.0826
C00155,C00022,0.2447
C00155,C00345,0.1088
C00155,C00199,0.0973
C00155,C00117,0.0515
C00155,C00279,0.1179
C00155,C04442,0.1212
C00155,C00227,0.0986
C00155,C00010,0.05
C00155,C00158,0.1333
C00155,C00451,0.1412
C00155,C00026,0.2292
C00155,C00042,0.3226
C00155,C00122,0.1481
C00155,C00149,0.2263
C00155,C00036,0.2319
C00155,C00048,0.1609
C00155,C00003,0.0399
C00155,C00006,0.0407
C00155,C00020,0.0373
C00155,C00008,0.0391
C00155,C00002,0.0382
C00155,C00144,0.0418
C00155,C00035,0.0411
C00155,C00044,0.0404
C00155,C00055,0.0453
C00155,C00112,0.0446
C00155,C00063,0.0431
C00155,C00105,0.0455
C00155,C00015,0.0466
C00155,C00075,0.0452
C00155,C00130,0.0418
C00155,C00575,0.0382
C00155,C00942,0.0425
C00155,C00119,0.0454
C00155,C00166,0.112
C00155,C00352,0.0729
C00155,C03878,0.0809
C00155,C00864,0.1625
C00037,C00092,0.0177
C00037,C05345,0.0169
C00037,C00354,0.0161
C00037,C00111,0.0813
C00037,C00029,0.0131
C00037,C01159,0.0551
C00037,C00197,0.0848
C00037,C00631,0.0809
C00037,C00074,0.0915
C00037,C00022,0.3043
C00037,C00345,0.0458
C00037,C00199,0.0385
C00037,C00117,0.0182
C00037,C00279,0.0529
C00037,C04442,0.0503
C00037,C00227,0.1647
C00037,C00010,0.016
C00037,C00158,0.0642
C00037,C00451,0.0614
C00037,C00026,0.1429
C00037,C00042,0.2692
C00037,C00122,0.2885
C00037,C00149,0.1443
C00037,C00036,0.1531
C00037,C00048,0.4667
C00037,C00003,0.0132
C00037,C00006,0.0133
C00037,C00020,0.0113
C00037,C00008,0.0116
C00037,C00002,0.0114
C00037,C00144,0.0114
C00037,C00035,0.011
C00037,C00044,0.0108
C00037,C00055,0.0141
C00037,C00112,0.0133
C00037,C00063,0.0128
C00037,C00105,0.0152
C00037,C00015,0.0153
C00037,C00075,0.0148
C00037,C00130,0.0113
C00037,C00575,0.0113
C00037,C00942,0.0115
C00037,C00119,0.0128
C00037,C00166,0.0765
C00037,C00352,0.0256
C00037,C03878,0.0293
C00037,C00864,0.0794
C00037,C00155,0.2963
C00065,C00092,0.0362
C00065,C05345,0.0368
C00065,C00354,0.0351
C00065,C00111,0.1189
C00065,C00029,0.031
C00065,C01159,0.1174
C00065,C00197,0.1705
C00065,C00631,0.1568
C00065,C00074,0.0899
C00065,C00022,0.3385
C00065,C00345,0.0946
C00065,C00199,0.08
C00065,C00117,0.0397
C00065,C00279,0.1024
C00065,C04442,0.0897
C00065,C00227,0.125
C00065,C00010,0.0312
C00065,C00158,0.1212
C00065,C00451,0.1208
C00065,C00026,0.1855
C00065,C00042,0.3099
C00065,C00122,0.1899
C00065,C00149,0.2545
C00065,C00036,0.2174
C00065,C00048,0.2456
C00065,C00003,0.0255
C00065,C00006,0.0264
C00065,C00020,0.024
C00065,C00008,0.0247
C00065,C00002,0.0241
C00065,C00144,0.0284
C00065,C00035,0.0274
C00065,C00044,0.0269
C00065,C00055,0.0362
C00065,C00112,0.034
C00065,C00063,0.0329
C00065,C00105,0.0352
C00065,C00015,0.0351
C00065,C00075,0.034
C00065,C00130,0.0276
C00065,C00575,0.0257
C00065,C00942,0.0291
C00065,C00119,0.0328
C00065,C00166,0.1121
C00065,C00352,0.0519
C00065,C03878,0.054
C00065,C00864,0.1199
C00065,C00155,0.4194
C00065,C00037,0.4706
C00073,C00092,0.0634
C00073,C05345,0.0548
C00073,C00354,0.0524
C00073,C00111,0.0933
C00073,C00029,0.0562
C00073,C01159,0.1054
C00073,C00197,0.1272
C00073,C00631,0.1181
C00073,C00074,0.0798
C00073,C00022,0.2
C00073,C00345,0.1117
C00073,C00199,0.1013
C00073,C00117,0.0586
C00073,C00279,0.1169
C00073,C04442,0.1203
C00073,C00227,0.0926
C00073,C00010,0.0621
C00073,C00158,0.1314
C00073,C00451,0.1348
C00073,C00026,0.2
C00073,C00042,0.2632
C00073,C00122,0.124
C00073,C00149,0.1962
C00073,C00036,0.2166
C00073,C00048,0.1296
C00073,C00003,0.0535
C00073,C00006,0.0545
C00073,C00020,0.0507
C00073,C00008,0.0528
C00073,C00002,0.0516
C00073,C00144,0.0536
C00073,C00035,0.0533
C00073,C00044,0.0532
C00073,C00055,0.0577
C00073,C00112,0.0572
C00073,C00063,0.0563
C00073,C00105,0.0589
C00073,C00015,0.0603
C00073,C00075,0.0594
C00073,C00130,0.0534
C00073,C00575,0.0507
C00073,C00942,0.0536
C00073,C00119,0.0548
C00073,C00166,0.1158
C00073,C00352,0.0776
C00073,C03878,0.0868
C00073,C00864,0.1551
C00073,C00155,0.7941
C00073,C00037,0.2353
C00073,C00065,0.3421
C00049,C00092,0.0537
C00049,C05345,0.0515
C00049,C00354,0.0512
C00049,C00111,0.0851
C00049,C00029,0.0506
C00049,C01159,0.09
C00049,C00197,0.1062
C00049,C00631,0.1073
C00049,C00074,0.087
C00049,C00022,0.2018
C00049,C00345,0.1203
C00049,C00199,0.1036
C00049,C00117,0.0571
C00049,C00279,0.1111
C00049,C04442,0.1294
C00049,C00227,0.0897
C00049,C00010,0.0555
C00049,C00158,0.1654
C00049,C00451,0.1723
C00049,C00026,0.2566
C00049,C00042,0.4421
C00049,C00122,0.1405
C00049,C00149,0.3094
C00049,C00036,0.305
C00049,C00048,0.1386
C00049,C00003,0.047
C00049,C00006,0.0468
C00049,C00020,0.0456
C00049,C00008,0.0462
C00049,C00002,0.0461
C00049,C00144,0.0505
C00049,C00035,0.0495
C00049,C00044,0.0494
C00049,C00055,0.0539
C00049,C00112,0.0527
C00049,C00063,0.0519
C00049,C00105,0.0551
C00049,C00015,0.0558
C00049,C00075,0.055
C00049,C00130,0.0484
C00049,C00575,0.0468
C00049,C00942,0.0515
C00049,C00119,0.0522
C00049,C00166,0.0973
C00049,C00352,0.0803
C00049,C03878,0.086
C00049,C00864,0.1828
C00049,C00155,0.479
C00049,C00037,0.2526
C00049,C00065,0.3645
C00049,C00073,0.4071
C00169,C00092,0.0759
C00169,C05345,0.0727
C00169,C00354,0.0756
C00169,C00111,0.2026
C00169,C00029,0.0412
C00169,C01159,0.1193
C00169,C00197,0.1558
C00169,C00631,0.1553
C00169,C00074,0.1675
C00169,C00022,0.0673
C00169,C00345,0.1108
C00169,C00199,0.1224
C00169,C00117,0.0831
C00169,C00279,0.1416
C00169,C04442,0.12
C00169,C00227,0.4019
C00169,C00010,0.0441
C00169,C00158,0.0443
C00169,C00451,0.039
C00169,C00026,0.0491
C00169,C00042,0.0636
C00169,C00122,0.0631
C00169,C00149,0.0519
C00169,C00036,0.0581
C00169,C00048,0.0795
C00169,C00003,0.0454
C00169,C00006,0.0431
C00169,C00020,0.0455
C00169,C00008,0.0453
C00169,C00002,0.0443
C00169,C00144,0.0428
C00169,C00035,0.0429
C00169,C00044,0.0421
C00169,C00055,0.0446
C00169,C00112,0.0449
C00169,C00063,0.0434
C00169,C00105,0.0457
C00169,C00015,0.0459
C00169,C00075,0.0445
C00169,C00130,0.042
C00169,C00575,0.0442
C00169,C00942,0.0427
C00169,C00119,0.0604
C00169,C00166,0.065
C00169,C00352,0.0681
C00169,C03878,0.0417
C00169,C00864,0.0521
C00169,C00155,0.0612
C00169,C00037,0.0879
C00169,C00065,0.0678
C00169,C00073,0.0599
C00169,C00049,0.0559
C00051,C00092,0.1179
C00051,C05345,0.1056
C00051,C00354,0.1052
C00051,C00111,0.0619
C00051,C00029,0.1673
C00051,C01159,0.1081
C00051,C00197,0.0868
C00051,C00631,0.092
C00051,C00074,0.0779
C00051,C00022,0.0599
C00051,C00345,0.1267
C00051,C00199,0.0979
C00051,C00117,0.0997
C00051,C00279,0.0855
C00051,C04442,0.1205
C00051,C00227,0.0544
C00051,C00010,0.2017
C00051,C00158,0.1309
C00051,C00451,0.1284
C00051,C00026,0.1199
C00051,C00042,0.0812
C00051,C00122,0.0561
C00051,C00149,0.0957
C00051,C00036,0.0952
C00051,C00048,0.0371
C00051,C00003,0.1735
C00051,C00006,0.1753
C00051,C00020,0.1729
C00051,C00008,0.1766
C00051,C00002,0.1748
C00051,C00144,0.1801
C00051,C00035,0.1808
C00051,C00044,0.1786
C00051,C00055,0.1677
C00051,C00112,0.1696
C00051,C00063,0.1692
C00051,C00105,0.1661
C00051,C00015,0.1708
C00051,C00075,0.1709
C00051,C00130,0.1759
C00051,C00575,0.1754
C00051,C00942,0.181
C00051,C00119,0.1211
C00051,C00166,0.0877
C00051,C00352,0.1523
C00051,C03878,0.2289
C00051,C00864,0.2209
C00051,C00155,0.1832
C00051,C00037,0.0647
C00051,C00065,0.1047
C00051,C00073,0.1914
C00051,C00049,0.1506
C00051,C00169,0.0445
C00127,C00092,0.1272
C00127,C05345,0.117
C00127,C00354,0.1176
C00127,C00111,0.0606
C00127,C00029,0.2014
C00127,C01159,0.1085
C00127,C00197,0.086
C00127,C00631,0.0867
C00127,C00074,0.0783
C00127,C00022,0.0518
C00127,C00345,0.1284
C00127,C00199,0.1028
C00127,C00117,0.1113
C00127,C00279,0.083
C00127,C04442,0.1263
C00127,C00227,0.0562
C00127,C00010,0.2364
C00127,C00158,0.1265
C00127,C00451,0.1301
C00127,C00026,0.1095
C00127,C00042,0.0671
C00127,C00122,0.0488
C00127,C00149,0.0869
C00127,C00036,0.0843
C00127,C00048,0.0306
C00127,C00003,0.209
C00127,C00006,0.2094
C00127,C00020,0.2023
C00127,C00008,0.2103
C00127,C00002,0.2097
C00127,C00144,0.2134
C00127,C00035,0.2175
C00127,C00044,0.2157
C00127,C00055,0.1925
C00127,C00112,0.2
C00127,C00063,0.2008
C00127,C00105,0.192
C00127,C00015,0.2013
C00127,C00075,0.2025
C00127,C00130,0.2071
C00127,C00575,0.2059
C00127,C00942,0.2145
C00127,C00119,0.1458
C00127,C00166,0.0887
C00127,C00352,0.1596
C00127,C03878,0.2261
C00127,C00864,0.2052
C00127,C00155,0.1515
C00127,C00037,0.0532
C00127,C00065,0.0866
C00127,C00073,0.1593
C00127,C00049,0.1304
C00127,C00169,0.0478
C00127,C00051,0.8226
C00004,C00092,0.2517
C00004,C05345,0.258
C00004,C00354,0.2638
C00004,C00111,0.063
C00004,C00029,0.6339
C00004,C01159,0.1337
C00004,C00197,0.0957
C00004,C00631,0.0893
C00004,C00074,0.0868
C00004,C00022,0.0205
C00004,C00345,0.1825
C00004,C00199,0.1527
C00004,C00117,0.2211
C00004,C00279,0.1115
C00004,C04442,0.1778
C00004,C00227,0.0449
C00004,C00010,0.8077
C00004,C00158,0.1076
C00004,C00451,0.1142
C00004,C00026,0.0535
C00004,C00042,0.026
C00004,C00122,0.0238
C00004,C00149,0.051
C00004,C00036,0.0502
C00004,C00048,0.0109
C00004,C00003,0.7958
C00004,C00006,0.7848
C00004,C00020,0.7822
C00004,C00008,0.8185
C00004,C00002,0.8183
C00004,C00144,0.7104
C00004,C00035,0.7404
C00004,C00044,0.7418
C00004,C00055,0.5875
C00004,C00112,0.6285
C00004,C00063,0.6377
C00004,C00105,0.5652
C00004,C00015,0.6063
C00004,C00075,0.6146
C00004,C00130,0.7005
C00004,C00575,0.7693
C00004,C00942,0.7057
C00004,C00119,0.3433
C00004,C00166,0.0878
C00004,C00352,0.2876
C00004,C03878,0.2849
C00004,C00864,0.1319
C00004,C00155,0.0412
C00004,C00037,0.0144
C00004,C00065,0.0279
C00004,C00073,0.0526
C00004,C00049,0.05
C00004,C00169,0.0449
C00004,C00051,0.1851
C00004,C00127,0.2219
C00005,C00092,0.2452
C00005,C05345,0.2522
C00005,C00354,0.2595
C00005,C00111,0.0621
C00005,C00029,0.6267
C00005,C01159,0.1341
C00005,C00197,0.0936
C00005,C00631,0.0896
C00005,C00074,0.0844
C00005,C00022,0.0197
C00005,C00345,0.1775
C00005,C00199,0.1487
C00005,C00117,0.2141
C00005,C00279,0.1082
C00005,C04442,0.1722
C00005,C00227,0.0433
C00005,C00010,0.8127
C00005,C00158,0.1052
C00005,C00451,0.1116
C00005,C00026,0.0516
C00005,C00042,0.025
C00005,C00122,0.023
C00005,C00149,0.0491
C00005,C00036,0.0491
C00005,C00048,0.0105
C00005,C00003,0.7743
C00005,C00006,0.8188
C00005,C00020,0.7538
C00005,C00008,0.7888
C00005,C00002,0.7901
C00005,C00144,0.6914
C00005,C00035,0.7206
C00005,C00044,0.7231
C00005,C00055,0.5731
C00005,C00112,0.6129
C00005,C00063,0.6229
C00005,C00105,0.5546
C00005,C00015,0.5945
C00005,C00075,0.6037
C00005,C00130,0.6804
C00005,C00575,0.7705
C00005,C00942,0.7122
C00005,C00119,0.3348
C00005,C00166,0.0896
C00005,C00352,0.2825
C00005,C03878,0.2808
C00005,C00864,0.1316
C00005,C00155,0.0418
C00005,C00037,0.0138
C00005,C00065,0.0276
C00005,C00073,0.0534
C00005,C00049,0.0495
C00005,C00169,0.0433
C00005,C00051,0.1847
C00005,C00127,0.2211
C00005,C00004,0.9637
C00016,C00092,0.2328
C00016,C05345,0.2437
C00016,C00354,0.2519
C00016,C00111,0.0581
C00016,C00029,0.6251
C00016,C01159,0.1255
C00016,C00197,0.0857
C00016,C00631,0.0827
C00016,C00074,0.0818
C00016,C00022,0.0174
C00016,C00345,0.1667
C00016,C00199,0.1382
C00016,C00117,0.2054
C00016,C00279,0.1003
C00016,C04442,0.1611
C00016,C00227,0.0396
C00016,C00010,0.7321
C00016,C00158,0.1029
C00016,C00451,0.1075
C00016,C00026,0.0466
C00016,C00042,0.0223
C00016,C00122,0.0216
C00016,C00149,0.0474
C00016,C00036,0.0449
C00016,C00048,0.009
C00016,C00003,0.7506
C00016,C00006,0.7557
C00016,C00020,0.6892
C00016,C00008,0.7212
C00016,C00002,0.7291
C00016,C00144,0.6845
C00016,C00035,0.712
C00016,C00044,0.7185
C00016,C00055,0.5494
C00016,C00112,0.5864
C00016,C00063,0.6015
C00016,C00105,0.5476
C00016,C00015,0.5852
C00016,C00075,0.5986
C00016,C00130,0.6629
C00016,C00575,0.7017
C00016,C00942,0.6974
C00016,C00119,0.3211
C00016,C00166,0.095
C00016,C00352,0.2697
C00016,C03878,0.2712
C00016,C00864,0.118
C00016,C00155,0.0413
C00016,C00037,0.0108
C00016,C00065,0.0246
C00016,C00073,0.0527
C00016,C00049,0.0485
C00016,C00169,0.0402
C00016,C00051,0.177
C00016,C00127,0.2164
C00016,C00004,0.757
C00016,C00005,0.7603
C00043,C00092,0.2989
C00043,C05345,0.2883
C00043,C00354,0.2933
C00043,C00111,0.067
C00043,C00029,0.8423
C00043,C01159,0.1327
C00043,C00197,0.0949
C00043,C00631,0.0943
C00043,C00074,0.0857
C00043,C00022,0.0213
C00043,C00345,0.1873
C00043,C00199,0.1629
C00043,C00117,0.2516
C00043,C00279,0.1184
C00043,C04442,0.1758
C00043,C00227,0.046
C00043,C00010,0.6609
C00043,C00158,0.1103
C00043,C00451,0.1133
C00043,C00026,0.0512
C00043,C00042,0.0263
C00043,C00122,0.0219
C00043,C00149,0.0493
C00043,C00036,0.0485
C00043,C00048,0.0121
C00043,C00003,0.643
C00043,C00006,0.6486
C00043,C00020,0.5946
C00043,C00008,0.6278
C00043,C00002,0.6274
C00043,C00144,0.6221
C00043,C00035,0.6512
C00043,C00044,0.6481
C00043,C00055,0.648
C00043,C00112,0.6916
C00043,C00063,0.688
C00043,C00105,0.6964
C00043,C00015,0.742
C00043,C00075,0.7341
C00043,C00130,0.6156
C00043,C00575,0.6126
C00043,C00942,0.6359
C00043,C00119,0.4156
C00043,C00166,0.0883
C00043,C00352,0.3798
C00043,C03878,0.4091
C00043,C00864,0.141
C00043,C00155,0.0488
C00043,C00037,0.0149
C00043,C00065,0.0319
C00043,C00073,0.0606
C00043,C00049,0.0579
C00043,C00169,0.0453
C00043,C00051,0.1914
C00043,C00127,0.2262
C00043,C00004,0.6587
C00043,C00005,0.6589
C00043,C00016,0.6712
C00118,C00092,0.1883
C00118,C05345,0.1801
C00118,C00354,0.1716
C00118,C00111,0.4025
C00118,C00029,0.0806
C00118,C01159,0.4672
C00118,C00197,0.7355
C00118,C00631,0.385
C00118,C00074,0.3122
C00118,C00022,0.1364
C00118,C00345,0.3141
C00118,C00199,0.374
C00118,C00117,0.2203
C00118,C00279,0.5131
C00118,C04442,0.3084
C00118,C00227,0.331
C00118,C00010,0.0778
C00118,C00158,0.1142
C00118,C00451,0.1067
C00118,C00026,0.1053
C00118,C00042,0.1143
C00118,C00122,0.068
C00118,C00149,0.1686
C00118,C00036,0.1278
C00118,C00048,0.0984
C00118,C00003,0.0731
C00118,C00006,0.0709
C00118,C00020,0.0856
C00118,C00008,0.0818
C00118,C00002,0.0809
C00118,C00144,0.0814
C00118,C00035,0.0784
C00118,C00044,0.0778
C00118,C00055,0.0984
C00118,C00112,0.0925
C00118,C00063,0.0904
C00118,C00105,0.0987
C00118,C00015,0.0927
C00118,C00075,0.0908
C00118,C00130,0.0857
C00118,C00575,0.0825
C00118,C00942,0.079
C00118,C00119,0.1384
C00118,C00166,0.1066
C00118,C00352,0.1584
C00118,C03878,0.0585
C00118,C00864,0.0838
C00118,C00155,0.1017
C00118,C00037,0.0781
C00118,C00065,0.1301
C00118,C00073,0.102
C00118,C00049,0.0829
C00118,C00169,0.1812
C00118,C00051,0.0659
C00118,C00127,0.066
C00118,C00004,0.0722
C00118,C00005,0.071
C00118,C00016,0.0649
C00118,C00043,0.0721
C00315,C00092,0.0302
C00315,C05345,0.0268
C00315,C00354,0.0255
C00315,C00111,0.0486
C00315,C00029,0.0228
C00315,C01159,0.0251
C00315,C00197,0.026
C00315,C00631,0.0354
C00315,C00074,0.026
C00315,C00022,0.0685
C00315,C00345,0.0274
C00315,C00199,0.0323
C00315,C00117,0.0302
C00315,C00279,0.0383
C00315,C04442,0.0248
C00315,C00227,0.0263
C00315,C00010,0.0299
C00315,C00158,0.0331
C00315,C00451,0.0317
C00315,C00026,0.0534
C00315,C00042,0.0909
C00315,C00122,0.0625
C00315,C00149,0.0661
C00315,C00036,0.0565
C00315,C00048,0.0333
C00315,C00003,0.0235
C00315,C00006,0.0237
C00315,C00020,0.0216
C00315,C00008,0.0223
C00315,C00002,0.0218
C00315,C00144,0.0178
C00315,C00035,0.0195
C00315,C00044,0.0192
C00315,C00055,0.024
C00315,C00112,0.0246
C00315,C00063,0.0237
C00315,C00105,0.0231
C00315,C00015,0.0246
C00315,C00075,0.0238
C00315,C00130,0.019
C00315,C00575,0.021
C00315,C00942,0.0175
C00315,C00119,0.0284
C00315,C00166,0.0315
C00315,C00352,0.0376
C00315,C03878,0.0566
C00315,C00864,0.124
C00315,C00155,0.1182
C00315,C00037,0.1
C00315,C00065,0.1071
C00315,C00073,0.1077
C00315,C00049,0.1048
C00315,C00169,0.0263
C00315,C00051,0.1013
C00315,C00127,0.0835
C00315,C00004,0.0246
C00315,C00005,0.0243
C00315,C00016,0.0204
C00315,C00043,0.0263
C00315,C00118,0.0331
C01228,C00092,0.2588
C01228,C05345,0.272
C01228,C00354,0.28
C01228,C00111,0.0664
C01228,C00029,0.6487
C01228,C01159,0.1448
C01228,C00197,0.1023
C01228,C00631,0.0993
C01228,C00074,0.0869
C01228,C00022,0.0188
C01228,C00345,0.1942
C01228,C00199,0.1642
C01228,C00117,0.2392
C01228,C00279,0.1214
C01228,C04442,0.1812
C01228,C00227,0.0449
C01228,C00010,0.8066
C01228,C00158,0.108
C01228,C00451,0.1152
C01228,C00026,0.0489
C01228,C00042,0.0248
C01228,C00122,0.0225
C01228,C00149,0.05
C01228,C00036,0.046
C01228,C00048,0.009
C01228,C00003,0.7599
C01228,C00006,0.762
C01228,C00020,0.7694
C01228,C00008,0.8075
C01228,C00002,0.8023
C01228,C00144,0.9198
C01228,C00035,0.9553
C01228,C00044,0.9419
C01228,C00055,0.5935
C01228,C00112,0.6371
C01228,C00063,0.64
C01228,C00105,0.6104
C01228,C00015,0.6552
C01228,C00075,0.6558
C01228,C00130,0.863
C01228,C00575,0.7999
C01228,C00942,0.9435
C01228,C00119,0.3599
C01228,C00166,0.0849
C01228,C00352,0.2849
C01228,C03878,0.2744
C01228,C00864,0.1263
C01228,C00155,0.0416
C01228,C00037,0.0113
C01228,C00065,0.0285
C01228,C00073,0.0533
C01228,C00049,0.0512
C01228,C00169,0.0426
C01228,C00051,0.1849
C01228,C00127,0.2212
C01228,C00004,0.7349
C01228,C00005,0.7409
C01228,C00016,0.7154
C01228,C00043,0.659
C01228,C00118,0.0765
C01228,C00315,0.0194
C00417,C00092,0.0811
C00417,C05345,0.0764
C00417,C00354,0.0769
C00417,C00111,0.083
C00417,C00029,0.0884
C00417,C01159,0.1047
C00417,C00197,0.099
C00417,C00631,0.1071
C00417,C00074,0.125
C00417,C00022,0.1204
C00417,C00345,0.134
C00417,C00199,0.107
C00417,C00117,0.0791
C00417,C00279,0.0963
C00417,C04442,0.1199
C00417,C00227,0.0905
C00417,C00010,0.0879
C00417,C00158,0.1697
C00417,C00451,0.1681
C00417,C00026,0.166
C00417,C00042,0.236
C00417,C00122,0.2416
C00417,C00149,0.2156
C00417,C00036,0.2081
C00417,C00048,0.0761
C00417,C00003,0.0835
C00417,C00006,0.0853
C00417,C00020,0.0855
C00417,C00008,0.0862
C00417,C00002,0.0861
C00417,C00144,0.0849
C00417,C00035,0.0852
C00417,C00044,0.0853
C00417,C00055,0.0956
C00417,C00112,0.0951
C00417,C00063,0.0958
C00417,C00105,0.0907
C00417,C00015,0.0923
C00417,C00075,0.0934
C00417,C00130,0.0857
C00417,C00575,0.0868
C00417,C00942,0.0872
C00417,C00119,0.0824
C00417,C00166,0.0896
C00417,C00352,0.0833
C00417,C03878,0.0994
C00417,C00864,0.1152
C00417,C00155,0.141
C00417,C00037,0.086
C00417,C00065,0.1171
C00417,C00073,0.1336
C00417,C00049,0.208
C00417,C00169,0.0586
C00417,C00051,0.125
C00417,C00127,0.1133
C00417,C00004,0.0957
C00417,C00005,0.0937
C00417,C00016,0.0884
C00417,C00043,0.0888
C00417,C00118,0.0735
C00417,C00315,0.0577
C00417,C01228,0.0862
C00024,C00092,0.2566
C00024,C05345,0.2606
C00024,C00354,0.2683
C00024,C00111,0.0701
C00024,C00029,0.6373
C00024,C01159,0.1446
C00024,C00197,0.1022
C00024,C00631,0.0993
C00024,C00074,0.0905
C00024,C00022,0.0215
C00024,C00345,0.1962
C00024,C00199,0.1664
C00024,C00117,0.229
C00024,C00279,0.1237
C00024,C04442,0.1836
C00024,C00227,0.0465
C00024,C00010,0.987
C00024,C00158,0.1138
C00024,C00451,0.1185
C00024,C00026,0.0533
C00024,C00042,0.0266
C00024,C00122,0.0236
C00024,C00149,0.0536
C00024,C00036,0.0505
C00024,C00048,0.0108
C00024,C00003,0.8237
C00024,C00006,0.8302
C00024,C00020,0.8234
C00024,C00008,0.8616
C00024,C00002,0.8556
C00024,C00144,0.7312
C00024,C00035,0.7625
C00024,C00044,0.7625
C00024,C00055,0.595
C00024,C00112,0.6375
C00024,C00063,0.6447
C00024,C00105,0.5823
C00024,C00015,0.6252
C00024,C00075,0.6305
C00024,C00130,0.7332
C00024,C00575,0.8531
C00024,C00942,0.762
C00024,C00119,0.3457
C00024,C00166,0.0878
C00024,C00352,0.287
C00024,C03878,0.2817
C00024,C00864,0.1737
C00024,C00155,0.0493
C00024,C00037,0.0158
C00024,C00065,0.0308
C00024,C00073,0.0613
C00024,C00049,0.0548
C00024,C00169,0.0435
C00024,C00051,0.2008
C00024,C00127,0.2352
C00024,C00004,0.8076
C00024,C00005,0.8137
C00024,C00016,0.7335
C00024,C00043,0.6627
C00024,C00118,0.0768
C00024,C00315,0.0295
C00024,C01228,0.7981
C00024,C00417,0.0883
C00364,C00092,0.299
C00364,C05345,0.304
C00364,C00354,0.3057
C00364,C00111,0.0861
C00364,C00029,0.6788
C00364,C01159,0.1579
C00364,C00197,0.1286
C00364,C00631,0.1085
C00364,C00074,0.0929
C00364,C00022,0.0207
C00364,C00345,0.2107
C00364,C00199,0.2018
C00364,C00117,0.2881
C00364,C00279,0.1572
C00364,C04442,0.2121
C00364,C00227,0.0577
C00364,C00010,0.5223
C00364,C00158,0.1102
C00364,C00451,0.1102
C00364,C00026,0.0523
C00364,C00042,0.028
C00364,C00122,0.0195
C00364,C00149,0.0506
C00364,C00036,0.0473
C00364,C00048,0.0125
C00364,C00003,0.5377
C00364,C00006,0.5326
C00364,C00020,0.5573
C00364,C00008,0.5439
C00364,C00002,0.539
C00364,C00144,0.5718
C00364,C00035,0.5574
C00364,C00044,0.5517
C00364,C00055,0.6953
C00364,C00112,0.67
C00364,C00063,0.658
C00364,C00105,0.7918
C00364,C00015,0.752
C00364,C00075,0.7331
C00364,C00130,0.5889
C00364,C00575,0.5458
C00364,C00942,0.554
C00364,C00119,0.3388
C00364,C00166,0.0869
C00364,C00352,0.3053
C00364,C03878,0.2469
C00364,C00864,0.1248
C00364,C00155,0.0445
C00364,C00037,0.0135
C00364,C00065,0.033
C00364,C00073,0.0572
C00364,C00049,0.0491
C00364,C00169,0.048
C00364,C00051,0.1648
C00364,C00127,0.1922
C00364,C00004,0.5135
C00364,C00005,0.5064
C00364,C00016,0.5093
C00364,C00043,0.6068
C00364,C00118,0.1002
C00364,C00315,0.0227
C00364,C01228,0.5414
C00364,C00417,0.0793
C00364,C00024,0.5202
C00459,C00092,0.2825
C00459,C05345,0.2917
C00459,C00354,0.2945
C00459,C00111,0.0799
C00459,C00029,0.7213
C00459,C01159,0.1487
C00459,C00197,0.1194
C00459,C00631,0.1024
C00459,C00074,0.0882
C00459,C00022,0.0206
C00459,C00345,0.1979
C00459,C00199,0.1894
C00459,C00117,0.2663
C00459,C00279,0.1443
C00459,C04442,0.1991
C00459,C00227,0.0522
C00459,C00010,0.5734
C00459,C00158,0.1099
C00459,C00451,0.1119
C00459,C00026,0.0531
C00459,C00042,0.0281
C00459,C00122,0.0205
C00459,C00149,0.0497
C00459,C00036,0.0477
C00459,C00048,0.0113
C00459,C00003,0.5884
C00459,C00006,0.5826
C00459,C00020,0.5552
C00459,C00008,0.5928
C00459,C00002,0.6119
C00459,C00144,0.5746
C00459,C00035,0.6072
C00459,C00044,0.6232
C00459,C00055,0.6604
C00459,C00112,0.7118
C00459,C00063,0.742
C00459,C00105,0.7374
C00459,C00015,0.7921
C00459,C00075,0.8212
C00459,C00130,0.5818
C00459,C00575,0.5497
C00459,C00942,0.5626
C00459,C00119,0.3855
C00459,C00166,0.0886
C00459,C00352,0.2967
C00459,C03878,0.2523
C00459,C00864,0.1234
C00459,C00155,0.0442
C00459,C00037,0.0132
C00459,C00065,0.0317
C00459,C00073,0.0576
C00459,C00049,0.0493
C00459,C00169,0.0463
C00459,C00051,0.168
C00459,C00127,0.2011
C00459,C00004,0.5654
C00459,C00005,0.5579
C00459,C00016,0.5634
C00459,C00043,0.6501
C00459,C00118,0.0916
C00459,C00315,0.0233
C00459,C01228,0.5908
C00459,C00417,0.0836
C00459,C00024,0.5718
C00459,C00364,0.9023
C00103,C00092,0.7743
C00103,C05345,0.617
C00103,C00354,0.5962
C00103,C00111,0.1385
C00103,C00029,0.4386
C00103,C01159,0.205
C00103,C00197,0.1927
C00103,C00631,0.1564
C00103,C00074,0.1337
C00103,C00022,0.0384
C00103,C00345,0.3709
C00103,C00199,0.3209
C00103,C00117,0.5986
C00103,C00279,0.2648
