Molecule1_KEGG,Molecule2_KEGG,USRCAT_Score
C00864,C00942,0.1389
C00864,C00119,0.1814
C00864,C00166,0.1379
C00864,C00352,0.2008
C00864,C03878,0.1895
C00155,C00092,0.2178
C00155,C05345,0.2099
C00155,C00354,0.1594
C00155,C00111,0.2763
C00155,C00029,0.0578
C00155,C01159,0.2498
C00155,C00197,0.2556
C00155,C00631,0.2572
C00155,C00074,0.3483
C00155,C00022,0.2069
C00155,C00345,0.1901
C00155,C00199,0.2061
C00155,C00117,0.2196
C00155,C00279,0.2576
C00155,C04442,0.1788
C00155,C00227,0.2685
C00155,C00010,0.076
C00155,C00158,0.303
C00155,C00451,0.3243
C00155,C00026,0.2951
C00155,C00042,0.318
C00155,C00122,0.3114
C00155,C00149,0.3746
C00155,C00036,0.3224
C00155,C00048,0.2105
C00155,C00003,0.058
C00155,C00006,0.0561
C00155,C00020,0.1052
C00155,C00008,0.0869
C00155,C00002,0.0734
C00155,C00144,0.1075
C00155,C00035,0.0874
C00155,C00044,0.0739
C00155,C00055,0.1058
C00155,C00112,0.0847
C00155,C00063,0.0701
C00155,C00105,0.1052
C00155,C00015,0.0851
C00155,C00075,0.0699
C00155,C00130,0.1424
C00155,C00575,0.1177
C00155,C00942,0.1219
C00155,C00119,0.134
C00155,C00166,0.1541
C00155,C00352,0.2181
C00155,C03878,0.2433
C00155,C00864,0.186
C00037,C00092,0.1995
C00037,C05345,0.1979
C00037,C00354,0.1514
C00037,C00111,0.2364
C00037,C00029,0.0516
C00037,C01159,0.2416
C00037,C00197,0.2656
C00037,C00631,0.3146
C00037,C00074,0.2418
C00037,C00022,0.3621
C00037,C00345,0.1726
C00037,C00199,0.1919
C00037,C00117,0.2153
C00037,C00279,0.2589
C00037,C04442,0.1386
C00037,C00227,0.3012
C00037,C00010,0.0605
C00037,C00158,0.2219
C00037,C00451,0.2234
C00037,C00026,0.2168
C00037,C00042,0.2907
C00037,C00122,0.2818
C00037,C00149,0.2762
C00037,C00036,0.2837
C00037,C00048,0.5322
C00037,C00003,0.0502
C00037,C00006,0.0489
C00037,C00020,0.1016
C00037,C00008,0.0844
C00037,C00002,0.0718
C00037,C00144,0.103
C00037,C00035,0.0851
C00037,C00044,0.0721
C00037,C00055,0.0905
C00037,C00112,0.0745
C00037,C00063,0.0633
C00037,C00105,0.0911
C00037,C00015,0.075
C00037,C00075,0.0631
C00037,C00130,0.139
C00037,C00575,0.1165
C00037,C00942,0.1166
C00037,C00119,0.1318
C00037,C00166,0.1375
C00037,C00352,0.2072
C00037,C03878,0.1727
C00037,C00864,0.1213
C00037,C00155,0.2205
C00065,C00092,0.2336
C00065,C05345,0.2354
C00065,C00354,0.1731
C00065,C00111,0.2823
C00065,C00029,0.0533
C00065,C01159,0.2936
C00065,C00197,0.3156
C00065,C00631,0.3684
C00065,C00074,0.2752
C00065,C00022,0.2846
C00065,C00345,0.193
C00065,C00199,0.2242
C00065,C00117,0.2651
C00065,C00279,0.2943
C00065,C04442,0.1527
C00065,C00227,0.3047
C00065,C00010,0.0628
C00065,C00158,0.2519
C00065,C00451,0.2681
C00065,C00026,0.2467
C00065,C00042,0.2959
C00065,C00122,0.2867
C00065,C00149,0.3472
C00065,C00036,0.3293
C00065,C00048,0.3907
C00065,C00003,0.0523
C00065,C00006,0.0511
C00065,C00020,0.1104
C00065,C00008,0.0897
C00065,C00002,0.0747
C00065,C00144,0.1125
C00065,C00035,0.0907
C00065,C00044,0.0747
C00065,C00055,0.0962
C00065,C00112,0.0781
C00065,C00063,0.0652
C00065,C00105,0.0949
C00065,C00015,0.0777
C00065,C00075,0.0649
C00065,C00130,0.1544
C00065,C00575,0.1263
C00065,C00942,0.1294
C00065,C00119,0.1428
C00065,C00166,0.136
C00065,C00352,0.2444
C00065,C03878,0.1852
C00065,C00864,0.1288
C00065,C00155,0.2643
C00065,C00037,0.4609
C00073,C00092,0.2062
C00073,C05345,0.1956
C00073,C00354,0.1547
C00073,C00111,0.2292
C00073,C00029,0.0575
C00073,C01159,0.2258
C00073,C00197,0.2361
C00073,C00631,0.2449
C00073,C00074,0.2717
C00073,C00022,0.1887
C00073,C00345,0.1806
C00073,C00199,0.1909
C00073,C00117,0.206
C00073,C00279,0.2335
C00073,C04442,0.1746
C00073,C00227,0.2607
C00073,C00010,0.0762
C00073,C00158,0.2897
C00073,C00451,0.3175
C00073,C00026,0.3046
C00073,C00042,0.2796
C00073,C00122,0.276
C00073,C00149,0.2775
C00073,C00036,0.2852
C00073,C00048,0.1943
C00073,C00003,0.0583
C00073,C00006,0.0567
C00073,C00020,0.1043
C00073,C00008,0.0871
C00073,C00002,0.0736
C00073,C00144,0.1065
C00073,C00035,0.0877
C00073,C00044,0.0741
C00073,C00055,0.1051
C00073,C00112,0.0841
C00073,C00063,0.0704
C00073,C00105,0.1041
C00073,C00015,0.0847
C00073,C00075,0.0701
C00073,C00130,0.1385
C00073,C00575,0.1133
C00073,C00942,0.1195
C00073,C00119,0.1331
C00073,C00166,0.1581
C00073,C00352,0.2059
C00073,C03878,0.2442
C00073,C00864,0.1814
C00073,C00155,0.3406
C00073,C00037,0.2
C00073,C00065,0.2121
C00049,C00092,0.2546
C00049,C05345,0.2308
C00049,C00354,0.1703
C00049,C00111,0.2918
C00049,C00029,0.058
C00049,C01159,0.3097
C00049,C00197,0.3436
C00049,C00631,0.3357
C00049,C00074,0.5126
C00049,C00022,0.246
C00049,C00345,0.1972
C00049,C00199,0.2203
C00049,C00117,0.2515
C00049,C00279,0.3076
C00049,C04442,0.1918
C00049,C00227,0.307
C00049,C00010,0.0697
C00049,C00158,0.4029
C00049,C00451,0.4101
C00049,C00026,0.3592
C00049,C00042,0.4171
C00049,C00122,0.3993
C00049,C00149,0.9188
C00049,C00036,0.6594
C00049,C00048,0.2471
C00049,C00003,0.0561
C00049,C00006,0.0543
C00049,C00020,0.1077
C00049,C00008,0.0883
C00049,C00002,0.0744
C00049,C00144,0.1124
C00049,C00035,0.0912
C00049,C00044,0.076
C00049,C00055,0.1064
C00049,C00112,0.0846
C00049,C00063,0.0703
C00049,C00105,0.1067
C00049,C00015,0.085
C00049,C00075,0.0701
C00049,C00130,0.1563
C00049,C00575,0.126
C00049,C00942,0.1317
C00049,C00119,0.1387
C00049,C00166,0.148
C00049,C00352,0.2528
C00049,C03878,0.2207
C00049,C00864,0.1599
C00049,C00155,0.3759
C00049,C00037,0.2723
C00049,C00065,0.3405
C00049,C00073,0.2795
C00169,C00092,0.2513
C00169,C05345,0.2344
C00169,C00354,0.1717
C00169,C00111,0.2935
C00169,C00029,0.054
C00169,C01159,0.3005
C00169,C00197,0.3649
C00169,C00631,0.3793
C00169,C00074,0.3471
C00169,C00022,0.2622
C00169,C00345,0.1952
C00169,C00199,0.2232
C00169,C00117,0.2559
C00169,C00279,0.3114
C00169,C04442,0.1539
C00169,C00227,0.3622
C00169,C00010,0.0633
C00169,C00158,0.2703
C00169,C00451,0.263
C00169,C00026,0.2447
C00169,C00042,0.2942
C00169,C00122,0.2851
C00169,C00149,0.3802
C00169,C00036,0.3367
C00169,C00048,0.3325
C00169,C00003,0.0528
C00169,C00006,0.0512
C00169,C00020,0.1083
C00169,C00008,0.0887
C00169,C00002,0.0741
C00169,C00144,0.1128
C00169,C00035,0.0915
C00169,C00044,0.0756
C00169,C00055,0.0949
C00169,C00112,0.0773
C00169,C00063,0.0649
C00169,C00105,0.0941
C00169,C00015,0.077
C00169,C00075,0.0646
C00169,C00130,0.159
C00169,C00575,0.1301
C00169,C00942,0.1328
C00169,C00119,0.1432
C00169,C00166,0.1358
C00169,C00352,0.2572
C00169,C03878,0.1853
C00169,C00864,0.133
C00169,C00155,0.2628
C00169,C00037,0.385
C00169,C00065,0.4818
C00169,C00073,0.209
C00169,C00049,0.3726
C00051,C00092,0.1414
C00051,C05345,0.1471
C00051,C00354,0.1885
C00051,C00111,0.1221
C00051,C00029,0.0764
C00051,C01159,0.1293
C00051,C00197,0.1252
C00051,C00631,0.1123
C00051,C00074,0.1265
C00051,C00022,0.0988
C00051,C00345,0.1552
C00051,C00199,0.149
C00051,C00117,0.1414
C00051,C00279,0.1254
C00051,C04442,0.2255
C00051,C00227,0.1099
C00051,C00010,0.1113
C00051,C00158,0.1402
C00051,C00451,0.1341
C00051,C00026,0.1355
C00051,C00042,0.1245
C00051,C00122,0.1229
C00051,C00149,0.1183
C00051,C00036,0.1215
C00051,C00048,0.0949
C00051,C00003,0.0761
C00051,C00006,0.0738
C00051,C00020,0.1375
C00051,C00008,0.1228
C00051,C00002,0.0989
C00051,C00144,0.1362
C00051,C00035,0.1242
C00051,C00044,0.0993
C00051,C00055,0.1622
C00051,C00112,0.1419
C00051,C00063,0.1093
C00051,C00105,0.155
C00051,C00015,0.1377
C00051,C00075,0.108
C00051,C00130,0.1132
C00051,C00575,0.1359
C00051,C00942,0.1293
C00051,C00119,0.2343
C00051,C00166,0.1098
C00051,C00352,0.1417
C00051,C03878,0.1402
C00051,C00864,0.2231
C00051,C00155,0.1236
C00051,C00037,0.0966
C00051,C00065,0.103
C00051,C00073,0.1295
C00051,C00049,0.1191
C00051,C00169,0.1051
C00127,C00092,0.1223
C00127,C05345,0.1249
C00127,C00354,0.1479
C00127,C00111,0.1055
C00127,C00029,0.0819
C00127,C01159,0.113
C00127,C00197,0.1095
C00127,C00631,0.1009
C00127,C00074,0.1118
C00127,C00022,0.0883
C00127,C00345,0.1303
C00127,C00199,0.1255
C00127,C00117,0.1188
C00127,C00279,0.1096
C00127,C04442,0.1717
C00127,C00227,0.0966
C00127,C00010,0.1127
C00127,C00158,0.121
C00127,C00451,0.1177
C00127,C00026,0.1172
C00127,C00042,0.1082
C00127,C00122,0.107
C00127,C00149,0.1055
C00127,C00036,0.1065
C00127,C00048,0.0852
C00127,C00003,0.0832
C00127,C00006,0.0812
C00127,C00020,0.1172
C00127,C00008,0.1165
C00127,C00002,0.1022
C00127,C00144,0.1193
C00127,C00035,0.1208
C00127,C00044,0.1044
C00127,C00055,0.1372
C00127,C00112,0.1346
C00127,C00063,0.1153
C00127,C00105,0.1319
C00127,C00015,0.1318
C00127,C00075,0.113
C00127,C00130,0.1002
C00127,C00575,0.1139
C00127,C00942,0.1118
C00127,C00119,0.1739
C00127,C00166,0.0983
C00127,C00352,0.1218
C00127,C03878,0.1162
C00127,C00864,0.1684
C00127,C00155,0.108
C00127,C00037,0.0865
C00127,C00065,0.0925
C00127,C00073,0.1132
C00127,C00049,0.106
C00127,C00169,0.0942
C00127,C00051,0.2898
C00004,C00092,0.0667
C00004,C05345,0.0664
C00004,C00354,0.0732
C00004,C00111,0.0614
C00004,C00029,0.1511
C00004,C01159,0.0624
C00004,C00197,0.0615
C00004,C00631,0.0583
C00004,C00074,0.0614
C00004,C00022,0.0529
C00004,C00345,0.069
C00004,C00199,0.0666
C00004,C00117,0.0635
C00004,C00279,0.0614
C00004,C04442,0.0723
C00004,C00227,0.0575
C00004,C00010,0.1139
C00004,C00158,0.062
C00004,C00451,0.0627
C00004,C00026,0.0641
C00004,C00042,0.0599
C00004,C00122,0.0595
C00004,C00149,0.0601
C00004,C00036,0.0605
C00004,C00048,0.0529
C00004,C00003,0.2527
C00004,C00006,0.2046
C00004,C00020,0.0916
C00004,C00008,0.1121
C00004,C00002,0.1301
C00004,C00144,0.0924
C00004,C00035,0.1168
C00004,C00044,0.1394
C00004,C00055,0.0883
C00004,C00112,0.1089
C00004,C00063,0.1307
C00004,C00105,0.0867
C00004,C00015,0.108
C00004,C00075,0.132
C00004,C00130,0.0756
C00004,C00575,0.0767
C00004,C00942,0.0852
C00004,C00119,0.0776
C00004,C00166,0.0662
C00004,C00352,0.0656
C00004,C03878,0.0661
C00004,C00864,0.0699
C00004,C00155,0.0624
C00004,C00037,0.0534
C00004,C00065,0.0559
C00004,C00073,0.0628
C00004,C00049,0.0602
C00004,C00169,0.0565
C00004,C00051,0.0838
C00004,C00127,0.0929
C00005,C00092,0.0618
C00005,C05345,0.0617
C00005,C00354,0.0674
C00005,C00111,0.0572
C00005,C00029,0.1691
C00005,C01159,0.0587
C00005,C00197,0.0574
C00005,C00631,0.0548
C00005,C00074,0.0571
C00005,C00022,0.05
C00005,C00345,0.0637
C00005,C00199,0.0618
C00005,C00117,0.0596
C00005,C00279,0.0573
C00005,C04442,0.0671
C00005,C00227,0.054
C00005,C00010,0.1106
C00005,C00158,0.0579
C00005,C00451,0.0589
C00005,C00026,0.0599
C00005,C00042,0.0562
C00005,C00122,0.0559
C00005,C00149,0.0561
C00005,C00036,0.0567
C00005,C00048,0.05
C00005,C00003,0.2149
C00005,C00006,0.2651
C00005,C00020,0.0839
C00005,C00008,0.1028
C00005,C00002,0.121
C00005,C00144,0.0839
C00005,C00035,0.1042
C00005,C00044,0.125
C00005,C00055,0.0807
C00005,C00112,0.0983
C00005,C00063,0.1184
C00005,C00105,0.0793
C00005,C00015,0.0964
C00005,C00075,0.1165
C00005,C00130,0.0688
C00005,C00575,0.0753
C00005,C00942,0.0777
C00005,C00119,0.0721
C00005,C00166,0.0614
C00005,C00352,0.061
C00005,C03878,0.0619
C00005,C00864,0.0646
C00005,C00155,0.0581
C00005,C00037,0.0505
C00005,C00065,0.0528
C00005,C00073,0.0586
C00005,C00049,0.0563
C00005,C00169,0.0529
C00005,C00051,0.0771
C00005,C00127,0.0854
C00005,C00004,0.3201
C00016,C00092,0.0545
C00016,C05345,0.0539
C00016,C00354,0.0584
C00016,C00111,0.0511
C00016,C00029,0.1253
C00016,C01159,0.0521
C00016,C00197,0.0513
C00016,C00631,0.0493
C00016,C00074,0.0518
C00016,C00022,0.046
C00016,C00345,0.0567
C00016,C00199,0.0547
C00016,C00117,0.0524
C00016,C00279,0.0515
C00016,C04442,0.0613
C00016,C00227,0.0483
C00016,C00010,0.0944
C00016,C00158,0.0526
C00016,C00451,0.0528
C00016,C00026,0.0533
C00016,C00042,0.051
C00016,C00122,0.051
C00016,C00149,0.0508
C00016,C00036,0.051
C00016,C00048,0.0452
C00016,C00003,0.1608
C00016,C00006,0.1628
C00016,C00020,0.07
C00016,C00008,0.0809
C00016,C00002,0.0916
C00016,C00144,0.0712
C00016,C00035,0.0825
C00016,C00044,0.0942
C00016,C00055,0.0743
C00016,C00112,0.0853
C00016,C00063,0.0947
C00016,C00105,0.0757
C00016,C00015,0.0854
C00016,C00075,0.0954
C00016,C00130,0.0609
C00016,C00575,0.0661
C00016,C00942,0.0666
C00016,C00119,0.0615
C00016,C00166,0.0568
C00016,C00352,0.0534
C00016,C03878,0.0546
C00016,C00864,0.0602
C00016,C00155,0.0517
C00016,C00037,0.0456
C00016,C00065,0.0467
C00016,C00073,0.0521
C00016,C00049,0.0509
C00016,C00169,0.0473
C00016,C00051,0.0717
C00016,C00127,0.0779
C00016,C00004,0.1216
C00016,C00005,0.1286
C00043,C00092,0.0739
C00043,C05345,0.0735
C00043,C00354,0.082
C00043,C00111,0.0684
C00043,C00029,0.0931
C00043,C01159,0.0708
C00043,C00197,0.0683
C00043,C00631,0.0648
C00043,C00074,0.0689
C00043,C00022,0.0599
C00043,C00345,0.0784
C00043,C00199,0.0748
C00043,C00117,0.0712
C00043,C00279,0.069
C00043,C04442,0.0893
C00043,C00227,0.0635
C00043,C00010,0.1597
C00043,C00158,0.071
C00043,C00451,0.0718
C00043,C00026,0.0724
C00043,C00042,0.0686
C00043,C00122,0.0683
C00043,C00149,0.0672
C00043,C00036,0.0682
C00043,C00048,0.0585
C00043,C00003,0.1052
C00043,C00006,0.0995
C00043,C00020,0.1044
C00043,C00008,0.133
C00043,C00002,0.1465
C00043,C00144,0.1047
C00043,C00035,0.1363
C00043,C00044,0.1453
C00043,C00055,0.1217
C00043,C00112,0.1786
C00043,C00063,0.233
C00043,C00105,0.1259
C00043,C00015,0.1845
C00043,C00075,0.2406
C00043,C00130,0.0835
C00043,C00575,0.0861
C00043,C00942,0.0947
C00043,C00119,0.0897
C00043,C00166,0.0795
C00043,C00352,0.0721
C00043,C03878,0.0733
C00043,C00864,0.0885
C00043,C00155,0.0692
C00043,C00037,0.0591
C00043,C00065,0.061
C00043,C00073,0.0711
C00043,C00049,0.0674
C00043,C00169,0.0613
C00043,C00051,0.1124
C00043,C00127,0.1251
C00043,C00004,0.1364
C00043,C00005,0.1157
C00043,C00016,0.0981
C00118,C00092,0.3268
C00118,C05345,0.3247
C00118,C00354,0.2287
C00118,C00111,0.5553
C00118,C00029,0.0581
C00118,C01159,0.3428
C00118,C00197,0.3688
C00118,C00631,0.3903
C00118,C00074,0.2592
C00118,C00022,0.1931
C00118,C00345,0.2838
C00118,C00199,0.3168
C00118,C00117,0.3281
C00118,C00279,0.3547
C00118,C04442,0.1823
C00118,C00227,0.225
C00118,C00010,0.0723
C00118,C00158,0.2641
C00118,C00451,0.2619
C00118,C00026,0.2545
C00118,C00042,0.2618
C00118,C00122,0.2629
C00118,C00149,0.2792
C00118,C00036,0.2659
C00118,C00048,0.2473
C00118,C00003,0.0559
C00118,C00006,0.054
C00118,C00020,0.1338
C00118,C00008,0.1032
C00118,C00002,0.086
C00118,C00144,0.1371
C00118,C00035,0.105
C00118,C00044,0.0861
C00118,C00055,0.1134
C00118,C00112,0.0879
C00118,C00063,0.0725
C00118,C00105,0.1117
C00118,C00015,0.0884
C00118,C00075,0.0725
C00118,C00130,0.1968
C00118,C00575,0.1518
C00118,C00942,0.1588
C00118,C00119,0.1791
C00118,C00166,0.1432
C00118,C00352,0.3329
C00118,C03878,0.2457
C00118,C00864,0.1672
C00118,C00155,0.2654
C00118,C00037,0.2578
C00118,C00065,0.3161
C00118,C00073,0.2515
C00118,C00049,0.2791
C00118,C00169,0.3186
C00118,C00051,0.1172
C00118,C00127,0.1016
C00118,C00004,0.0601
C00118,C00005,0.0561
C00118,C00016,0.0501
C00118,C00043,0.0664
C00315,C00092,0.1955
C00315,C05345,0.1969
C00315,C00354,0.2146
C00315,C00111,0.1612
C00315,C00029,0.0705
C00315,C01159,0.167
C00315,C00197,0.1599
C00315,C00631,0.1389
C00315,C00074,0.165
C00315,C00022,0.1164
C00315,C00345,0.202
C00315,C00199,0.2009
C00315,C00117,0.1813
C00315,C00279,0.1591
C00315,C04442,0.2565
C00315,C00227,0.1326
C00315,C00010,0.0995
C00315,C00158,0.1784
C00315,C00451,0.1755
C00315,C00026,0.1814
C00315,C00042,0.1543
C00315,C00122,0.1518
C00315,C00149,0.1545
C00315,C00036,0.1553
C00315,C00048,0.1111
C00315,C00003,0.0708
C00315,C00006,0.0679
C00315,C00020,0.1324
C00315,C00008,0.1093
C00315,C00002,0.0886
C00315,C00144,0.1356
C00315,C00035,0.1135
C00315,C00044,0.0906
C00315,C00055,0.1428
C00315,C00112,0.1121
C00315,C00063,0.0897
C00315,C00105,0.1346
C00315,C00015,0.1111
C00315,C00075,0.0889
C00315,C00130,0.1377
C00315,C00575,0.15
C00315,C00942,0.1467
C00315,C00119,0.1787
C00315,C00166,0.1231
C00315,C00352,0.1909
C00315,C03878,0.163
C00315,C00864,0.2866
C00315,C00155,0.1647
C00315,C00037,0.1134
C00315,C00065,0.1251
C00315,C00073,0.1675
C00315,C00049,0.1561
C00315,C00169,0.1294
C00315,C00051,0.2524
C00315,C00127,0.1866
C00315,C00004,0.0774
C00315,C00005,0.0711
C00315,C00016,0.064
C00315,C00043,0.0952
C00315,C00118,0.1525
C01228,C00092,0.1848
C01228,C05345,0.1815
C01228,C00354,0.2014
C01228,C00111,0.1503
C01228,C00029,0.0816
C01228,C01159,0.1602
C01228,C00197,0.1511
C01228,C00631,0.1418
C01228,C00074,0.1208
C01228,C00022,0.1012
C01228,C00345,0.1963
C01228,C00199,0.1778
C01228,C00117,0.1636
C01228,C00279,0.1601
C01228,C04442,0.1475
C01228,C00227,0.1075
C01228,C00010,0.1038
C01228,C00158,0.1265
C01228,C00451,0.1275
C01228,C00026,0.1272
C01228,C00042,0.1217
C01228,C00122,0.121
C01228,C00149,0.1239
C01228,C00036,0.1225
C01228,C00048,0.1117
C01228,C00003,0.0777
C01228,C00006,0.0749
C01228,C00020,0.2019
C01228,C00008,0.1582
C01228,C00002,0.123
C01228,C00144,0.2251
C01228,C00035,0.1713
C01228,C00044,0.1262
C01228,C00055,0.1564
C01228,C00112,0.1271
C01228,C00063,0.0991
C01228,C00105,0.1605
C01228,C00015,0.1289
C01228,C00075,0.0996
C01228,C00130,0.2263
C01228,C00575,0.322
C01228,C00942,0.2857
C01228,C00119,0.1758
C01228,C00166,0.1251
C01228,C00352,0.1779
C01228,C03878,0.1264
C01228,C00864,0.1282
C01228,C00155,0.1156
C01228,C00037,0.114
C01228,C00065,0.1204
C01228,C00073,0.1146
C01228,C00049,0.1243
C01228,C00169,0.1247
C01228,C00051,0.1207
C01228,C00127,0.1095
C01228,C00004,0.0778
C01228,C00005,0.0758
C01228,C00016,0.0681
C01228,C00043,0.0887
C01228,C00118,0.1472
C01228,C00315,0.1262
C00417,C00092,0.2382
C00417,C05345,0.2455
C00417,C00354,0.1765
C00417,C00111,0.2435
C00417,C00029,0.0582
C00417,C01159,0.2855
C00417,C00197,0.267
C00417,C00631,0.2652
C00417,C00074,0.2718
C00417,C00022,0.1955
C00417,C00345,0.2095
C00417,C00199,0.2242
C00417,C00117,0.2717
C00417,C00279,0.318
C00417,C04442,0.2063
C00417,C00227,0.2015
C00417,C00010,0.076
C00417,C00158,0.3569
C00417,C00451,0.397
C00417,C00026,0.3324
C00417,C00042,0.3271
C00417,C00122,0.329
C00417,C00149,0.2993
C00417,C00036,0.2977
C00417,C00048,0.1923
C00417,C00003,0.0582
C00417,C00006,0.0568
C00417,C00020,0.1117
C00417,C00008,0.0912
C00417,C00002,0.0772
C00417,C00144,0.1132
C00417,C00035,0.0913
C00417,C00044,0.0763
C00417,C00055,0.1152
C00417,C00112,0.0904
C00417,C00063,0.0743
C00417,C00105,0.1182
C00417,C00015,0.0919
C00417,C00075,0.0747
C00417,C00130,0.1576
C00417,C00575,0.13
C00417,C00942,0.1298
C00417,C00119,0.1483
C00417,C00166,0.1688
C00417,C00352,0.2474
C00417,C03878,0.2447
C00417,C00864,0.2046
C00417,C00155,0.2877
C00417,C00037,0.1996
C00417,C00065,0.2281
C00417,C00073,0.2673
C00417,C00049,0.302
C00417,C00169,0.2139
C00417,C00051,0.1374
C00417,C00127,0.1213
C00417,C00004,0.0626
C00417,C00005,0.0588
C00417,C00016,0.0538
C00417,C00043,0.0725
C00417,C00118,0.2425
C00417,C00315,0.1772
C00417,C01228,0.1287
C00024,C00092,0.0649
C00024,C05345,0.065
C00024,C00354,0.0721
C00024,C00111,0.0609
C00024,C00029,0.1252
C00024,C01159,0.0609
C00024,C00197,0.0596
C00024,C00631,0.0568
C00024,C00074,0.0603
C00024,C00022,0.0527
C00024,C00345,0.0674
C00024,C00199,0.0652
C00024,C00117,0.0626
C00024,C00279,0.0598
C00024,C04442,0.075
C00024,C00227,0.0555
C00024,C00010,0.1944
C00024,C00158,0.0624
C00024,C00451,0.0621
C00024,C00026,0.0627
C00024,C00042,0.0592
C00024,C00122,0.0591
C00024,C00149,0.0589
C00024,C00036,0.0591
C00024,C00048,0.0516
C00024,C00003,0.1293
C00024,C00006,0.1379
C00024,C00020,0.0898
C00024,C00008,0.0978
C00024,C00002,0.1007
C00024,C00144,0.0926
C00024,C00035,0.1034
C00024,C00044,0.106
C00024,C00055,0.0981
C00024,C00112,0.1091
C00024,C00063,0.1162
C00024,C00105,0.0966
C00024,C00015,0.1084
C00024,C00075,0.1159
C00024,C00130,0.0751
C00024,C00575,0.0816
C00024,C00942,0.0837
C00024,C00119,0.0747
C00024,C00166,0.0688
C00024,C00352,0.0642
C00024,C03878,0.0648
C00024,C00864,0.0781
C00024,C00155,0.062
C00024,C00037,0.0521
C00024,C00065,0.0543
C00024,C00073,0.0629
C00024,C00049,0.0591
C00024,C00169,0.0548
C00024,C00051,0.0918
C00024,C00127,0.0968
C00024,C00004,0.1302
C00024,C00005,0.1337
C00024,C00016,0.1229
C00024,C00043,0.1432
C00024,C00118,0.0597
C00024,C00315,0.0817
C00024,C01228,0.0847
C00024,C00417,0.062
C00364,C00092,0.1172
C00364,C05345,0.118
C00364,C00354,0.1342
C00364,C00111,0.107
C00364,C00029,0.074
C00364,C01159,0.1102
C00364,C00197,0.104
C00364,C00631,0.0962
C00364,C00074,0.1045
C00364,C00022,0.0861
C00364,C00345,0.1253
C00364,C00199,0.1173
C00364,C00117,0.1133
C00364,C00279,0.1069
C00364,C04442,0.1656
C00364,C00227,0.0917
C00364,C00010,0.1331
C00364,C00158,0.1123
C00364,C00451,0.1118
C00364,C00026,0.114
C00364,C00042,0.1051
C00364,C00122,0.1039
C00364,C00149,0.1013
C00364,C00036,0.1031
C00364,C00048,0.0832
C00364,C00003,0.0829
C00364,C00006,0.08
C00364,C00020,0.2085
C00364,C00008,0.147
C00364,C00002,0.1144
C00364,C00144,0.1974
C00364,C00035,0.1457
C00364,C00044,0.1139
C00364,C00055,0.3373
C00364,C00112,0.2004
C00364,C00063,0.1346
C00364,C00105,0.3398
C00364,C00015,0.1993
C00364,C00075,0.1336
C00364,C00130,0.1514
C00364,C00575,0.1517
C00364,C00942,0.1739
C00364,C00119,0.136
C00364,C00166,0.1441
C00364,C00352,0.1152
C00364,C03878,0.1104
C00364,C00864,0.1682
C00364,C00155,0.1078
C00364,C00037,0.0844
C00364,C00065,0.088
C00364,C00073,0.1078
C00364,C00049,0.1018
C00364,C00169,0.0887
C00364,C00051,0.1668
C00364,C00127,0.1529
C00364,C00004,0.0909
C00364,C00005,0.0828
C00364,C00016,0.0776
C00364,C00043,0.1315
C00364,C00118,0.0996
C00364,C00315,0.1454
C00364,C01228,0.1407
C00364,C00417,0.1191
C00364,C00024,0.1041
C00459,C00092,0.0735
C00459,C05345,0.0756
C00459,C00354,0.0842
C00459,C00111,0.0692
C00459,C00029,0.092
C00459,C01159,0.0699
C00459,C00197,0.0681
C00459,C00631,0.0643
C00459,C00074,0.0682
C00459,C00022,0.0603
C00459,C00345,0.0793
C00459,C00199,0.0763
C00459,C00117,0.073
C00459,C00279,0.0692
C00459,C04442,0.092
C00459,C00227,0.0627
C00459,C00010,0.1382
C00459,C00158,0.0721
C00459,C00451,0.071
C00459,C00026,0.0717
C00459,C00042,0.0691
C00459,C00122,0.0686
C00459,C00149,0.0661
C00459,C00036,0.0673
C00459,C00048,0.0589
C00459,C00003,0.105
C00459,C00006,0.1007
C00459,C00020,0.1139
C00459,C00008,0.152
C00459,C00002,0.1693
C00459,C00144,0.1097
C00459,C00035,0.1416
C00459,C00044,0.1602
C00459,C00055,0.1376
C00459,C00112,0.22
C00459,C00063,0.3381
C00459,C00105,0.1345
C00459,C00015,0.2118
C00459,C00075,0.3427
C00459,C00130,0.0842
C00459,C00575,0.0914
C00459,C00942,0.097
C00459,C00119,0.0948
C00459,C00166,0.0829
C00459,C00352,0.0735
C00459,C03878,0.0744
C00459,C00864,0.0948
C00459,C00155,0.0703
C00459,C00037,0.0595
C00459,C00065,0.0615
C00459,C00073,0.0711
C00459,C00049,0.0664
C00459,C00169,0.0616
C00459,C00051,0.1125
C00459,C00127,0.1244
C00459,C00004,0.1336
C00459,C00005,0.1178
C00459,C00016,0.0978
C00459,C00043,0.2476
C00459,C00118,0.0674
C00459,C00315,0.0913
C00459,C01228,0.0883
C00459,C00417,0.0744
C00459,C00024,0.1205
C00459,C00364,0.1534
C00103,C00092,0.5073
C00103,C05345,0.5044
C00103,C00354,0.2896
C00103,C00111,0.3837
C00103,C00029,0.0612
C00103,C01159,0.5386
C00103,C00197,0.4313
C00103,C00631,0.343
C00103,C00074,0.248
C00103,C00022,0.1797
C00103,C00345,0.3498
C00103,C00199,0.4334
C00103,C00117,0.5582
